Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
"ABCC3","ATP Binding Cassette Subfamily C Member 3","Protein Coding","67","GC17P050634","0.77","/cgi-bin/carddisp.pl?gene=ABCC3"
"PML","Promyelocytic Leukemia","Protein Coding","67","GC15P073994","0.77","/cgi-bin/carddisp.pl?gene=PML"
"TIMP3","TIMP Metallopeptidase Inhibitor 3","Protein Coding","67","GC22P032800","0.77","/cgi-bin/carddisp.pl?gene=TIMP3"
"PRDX6","Peroxiredoxin 6","Protein Coding","67","GC01P173477","0.77","/cgi-bin/carddisp.pl?gene=PRDX6"
"DLAT","Dihydrolipoamide S-Acetyltransferase","Protein Coding","67","GC11P112024","0.77","/cgi-bin/carddisp.pl?gene=DLAT"
"DNM1L","Dynamin 1 Like","Protein Coding","67","GC12P032679","0.77","/cgi-bin/carddisp.pl?gene=DNM1L"
"TCF12","Transcription Factor 12","Protein Coding","67","GC15P056918","0.77","/cgi-bin/carddisp.pl?gene=TCF12"
"APEX1","Apurinic/Apyrimidinic Endodeoxyribonuclease 1","Protein Coding","66","GC14P020455","0.77","/cgi-bin/carddisp.pl?gene=APEX1"
"HCRTR1","Hypocretin Receptor 1","Protein Coding","66","GC01P031587","0.77","/cgi-bin/carddisp.pl?gene=HCRTR1"
"FCGR2A","Fc Fragment Of IgG Receptor IIa","Protein Coding","66","GC01P161505","0.77","/cgi-bin/carddisp.pl?gene=FCGR2A"
"CHRNA7","Cholinergic Receptor Nicotinic Alpha 7 Subunit","Protein Coding","66","GC15P031923","0.77","/cgi-bin/carddisp.pl?gene=CHRNA7"
"HNRNPA1","Heterogeneous Nuclear Ribonucleoprotein A1","Protein Coding","66","GC12P054280","0.77","/cgi-bin/carddisp.pl?gene=HNRNPA1"
"BDKRB2","Bradykinin Receptor B2","Protein Coding","66","GC14P096205","0.77","/cgi-bin/carddisp.pl?gene=BDKRB2"
"ATP5A1","ATP Synthase, H+ Transporting, Mitochondrial F1 Complex, Alpha Subunit 1, Cardiac Muscle","Protein Coding","66","GC18M046080","0.77","/cgi-bin/carddisp.pl?gene=ATP5A1"
"ATP2A3","ATPase Sarcoplasmic/Endoplasmic Reticulum Ca2+ Transporting 3","Protein Coding","66","GC17M003923","0.77","/cgi-bin/carddisp.pl?gene=ATP2A3"
"INHBA","Inhibin Beta A Subunit","Protein Coding","66","GC07M041668","0.77","/cgi-bin/carddisp.pl?gene=INHBA"
"IL3","Interleukin 3","Protein Coding","66","GC05P132060","0.77","/cgi-bin/carddisp.pl?gene=IL3"
"TARDBP","TAR DNA Binding Protein","Protein Coding","66","GC01P011013","0.77","/cgi-bin/carddisp.pl?gene=TARDBP"
"PPARGC1A","PPARG Coactivator 1 Alpha","Protein Coding","66","GC04M023755","0.77","/cgi-bin/carddisp.pl?gene=PPARGC1A"
"IMPA1","Inositol Monophosphatase 1","Protein Coding","66","GC08M081656","0.77","/cgi-bin/carddisp.pl?gene=IMPA1"
"GRIN2C","Glutamate Ionotropic Receptor NMDA Type Subunit 2C","Protein Coding","66","GC17M074842","0.77","/cgi-bin/carddisp.pl?gene=GRIN2C"
"GRIN2D","Glutamate Ionotropic Receptor NMDA Type Subunit 2D","Protein Coding","66","GC19P048394","0.77","/cgi-bin/carddisp.pl?gene=GRIN2D"
"MAP3K2","Mitogen-Activated Protein Kinase Kinase Kinase 2","Protein Coding","66","GC02M127298","0.77","/cgi-bin/carddisp.pl?gene=MAP3K2"
"MECP2","Methyl-CpG Binding Protein 2","Protein Coding","66","GC0XM154021","0.77","/cgi-bin/carddisp.pl?gene=MECP2"
"CKB","Creatine Kinase B","Protein Coding","66","GC14M103519","0.77","/cgi-bin/carddisp.pl?gene=CKB"
"IRF1","Interferon Regulatory Factor 1","Protein Coding","66","GC05M132481","0.77","/cgi-bin/carddisp.pl?gene=IRF1"
"SLIT2","Slit Guidance Ligand 2","Protein Coding","66","GC04P020356","0.77","/cgi-bin/carddisp.pl?gene=SLIT2"
"PKM","Pyruvate Kinase, Muscle","Protein Coding","66","GC15M072199","0.77","/cgi-bin/carddisp.pl?gene=PKM"
"ADRA2B","Adrenoceptor Alpha 2B","Protein Coding","66","GC02M096112","0.77","/cgi-bin/carddisp.pl?gene=ADRA2B"
"ALOX15","Arachidonate 15-Lipoxygenase","Protein Coding","66","GC17M004630","0.77","/cgi-bin/carddisp.pl?gene=ALOX15"
"GRIK1","Glutamate Ionotropic Receptor Kainate Type Subunit 1","Protein Coding","66","GC21M029536","0.77","/cgi-bin/carddisp.pl?gene=GRIK1"
"C5AR1","Complement C5a Receptor 1","Protein Coding","66","GC19P047290","0.77","/cgi-bin/carddisp.pl?gene=C5AR1"
"SORD","Sorbitol Dehydrogenase","Protein Coding","66","GC15P045023","0.77","/cgi-bin/carddisp.pl?gene=SORD"
"FZD1","Frizzled Class Receptor 1","Protein Coding","66","GC07P091264","0.77","/cgi-bin/carddisp.pl?gene=FZD1"
"A2M","Alpha-2-Macroglobulin","Protein Coding","66","GC12M009067","0.77","/cgi-bin/carddisp.pl?gene=A2M"
"PDE4A","Phosphodiesterase 4A","Protein Coding","66","GC19P010392","0.77","/cgi-bin/carddisp.pl?gene=PDE4A"
"XPO1","Exportin 1","Protein Coding","66","GC02M061445","0.77","/cgi-bin/carddisp.pl?gene=XPO1"
"UQCRC2","Ubiquinol-Cytochrome C Reductase Core Protein II","Protein Coding","66","GC16P021963","0.77","/cgi-bin/carddisp.pl?gene=UQCRC2"
"PAFAH1B1","Platelet Activating Factor Acetylhydrolase 1b Regulatory Subunit 1","Protein Coding","66","GC17P002593","0.77","/cgi-bin/carddisp.pl?gene=PAFAH1B1"
"TUBG1","Tubulin Gamma 1","Protein Coding","66","GC17P042609","0.77","/cgi-bin/carddisp.pl?gene=TUBG1"
"LTF","Lactotransferrin","Protein Coding","66","GC03M046435","0.77","/cgi-bin/carddisp.pl?gene=LTF"
"LIG1","DNA Ligase 1","Protein Coding","66","GC19M048115","0.77","/cgi-bin/carddisp.pl?gene=LIG1"
"FEN1","Flap Structure-Specific Endonuclease 1","Protein Coding","66","GC11P061811","0.77","/cgi-bin/carddisp.pl?gene=FEN1"
"CSF1","Colony Stimulating Factor 1","Protein Coding","66","GC01P109911","0.77","/cgi-bin/carddisp.pl?gene=CSF1"
"SLC19A2","Solute Carrier Family 19 Member 2","Protein Coding","66","GC01M169433","0.77","/cgi-bin/carddisp.pl?gene=SLC19A2"
"FUCA1","Fucosidase, Alpha-L- 1, Tissue","Protein Coding","66","GC01M023845","0.77","/cgi-bin/carddisp.pl?gene=FUCA1"
"CSF2","Colony Stimulating Factor 2","Protein Coding","66","GC05P132073","0.77","/cgi-bin/carddisp.pl?gene=CSF2"
"PPP2R2B","Protein Phosphatase 2 Regulatory Subunit Bbeta","Protein Coding","66","GC05M146549","0.77","/cgi-bin/carddisp.pl?gene=PPP2R2B"
"TCF3","Transcription Factor 3","Protein Coding","66","GC19M001609","0.77","/cgi-bin/carddisp.pl?gene=TCF3"
"TCF4","Transcription Factor 4","Protein Coding","66","GC18M055222","0.77","/cgi-bin/carddisp.pl?gene=TCF4"
"TGFA","Transforming Growth Factor Alpha","Protein Coding","66","GC02M070410","0.77","/cgi-bin/carddisp.pl?gene=TGFA"
"JUP","Junction Plakoglobin","Protein Coding","66","GC17M041754","0.77","/cgi-bin/carddisp.pl?gene=JUP"
"TGFBI","Transforming Growth Factor Beta Induced","Protein Coding","66","GC05P136027","0.77","/cgi-bin/carddisp.pl?gene=TGFBI"
"SERPINH1","Serpin Family H Member 1","Protein Coding","66","GC11P075562","0.77","/cgi-bin/carddisp.pl?gene=SERPINH1"
"FOXO1","Forkhead Box O1","Protein Coding","66","GC13M040555","0.77","/cgi-bin/carddisp.pl?gene=FOXO1"
"TGFBR3","Transforming Growth Factor Beta Receptor 3","Protein Coding","66","GC01M091619","0.77","/cgi-bin/carddisp.pl?gene=TGFBR3"
"FADS2","Fatty Acid Desaturase 2","Protein Coding","65","GC11P061792","0.77","/cgi-bin/carddisp.pl?gene=FADS2"
"RELN","Reelin","Protein Coding","65","GC07M103471","0.77","/cgi-bin/carddisp.pl?gene=RELN"
"RPA1","Replication Protein A1","Protein Coding","65","GC17P001829","0.77","/cgi-bin/carddisp.pl?gene=RPA1"
"SOCS3","Suppressor Of Cytokine Signaling 3","Protein Coding","65","GC17M078356","0.77","/cgi-bin/carddisp.pl?gene=SOCS3"
"ATP5B","ATP Synthase, H+ Transporting, Mitochondrial F1 Complex, Beta Polypeptide","Protein Coding","65","GC12M056638","0.77","/cgi-bin/carddisp.pl?gene=ATP5B"
"IL18","Interleukin 18","Protein Coding","65","GC11M112143","0.77","/cgi-bin/carddisp.pl?gene=IL18"
"GRIK4","Glutamate Ionotropic Receptor Kainate Type Subunit 4","Protein Coding","65","GC11P120480","0.77","/cgi-bin/carddisp.pl?gene=GRIK4"
"EMD","Emerin","Protein Coding","65","GC0XP154379","0.77","/cgi-bin/carddisp.pl?gene=EMD"
"CD86","CD86 Molecule","Protein Coding","65","GC03P122055","0.77","/cgi-bin/carddisp.pl?gene=CD86"
"BSG","Basigin (Ok Blood Group)","Protein Coding","65","GC19P000571","0.77","/cgi-bin/carddisp.pl?gene=BSG"
"HLA-C","Major Histocompatibility Complex, Class I, C","Protein Coding","65","GC06M031272","0.77","/cgi-bin/carddisp.pl?gene=HLA-C"
"PRKAR2B","Protein Kinase CAMP-Dependent Type II Regulatory Subunit Beta","Protein Coding","65","GC07P107044","0.77","/cgi-bin/carddisp.pl?gene=PRKAR2B"
"PDHB","Pyruvate Dehydrogenase (Lipoamide) Beta","Protein Coding","65","GC03M058388","0.77","/cgi-bin/carddisp.pl?gene=PDHB"
"AGER","Advanced Glycosylation End-Product Specific Receptor","Protein Coding","65","GC06M032180","0.77","/cgi-bin/carddisp.pl?gene=AGER"
"EEF1A1","Eukaryotic Translation Elongation Factor 1 Alpha 1","Protein Coding","65","GC06M073515","0.77","/cgi-bin/carddisp.pl?gene=EEF1A1"
"PHB","Prohibitin","Protein Coding","65","GC17M049404","0.77","/cgi-bin/carddisp.pl?gene=PHB"
"ACP1","Acid Phosphatase 1, Soluble","Protein Coding","65","GC02P000254","0.77","/cgi-bin/carddisp.pl?gene=ACP1"
"EPB41","Erythrocyte Membrane Protein Band 4.1","Protein Coding","65","GC01P028887","0.77","/cgi-bin/carddisp.pl?gene=EPB41"
"STMN1","Stathmin 1","Protein Coding","65","GC01M025884","0.77","/cgi-bin/carddisp.pl?gene=STMN1"
"SIN3A","SIN3 Transcription Regulator Family Member A","Protein Coding","65","GC15M075369","0.77","/cgi-bin/carddisp.pl?gene=SIN3A"
"TGM1","Transglutaminase 1","Protein Coding","65","GC14M024249","0.77","/cgi-bin/carddisp.pl?gene=TGM1"
"ARNT","Aryl Hydrocarbon Receptor Nuclear Translocator","Protein Coding","65","GC01M150782","0.77","/cgi-bin/carddisp.pl?gene=ARNT"
"SEMA3A","Semaphorin 3A","Protein Coding","65","GC07M083955","0.77","/cgi-bin/carddisp.pl?gene=SEMA3A"
"IRF2","Interferon Regulatory Factor 2","Protein Coding","65","GC04M184387","0.77","/cgi-bin/carddisp.pl?gene=IRF2"
"PYCARD","PYD And CARD Domain Containing","Protein Coding","64","GC16M031212","0.77","/cgi-bin/carddisp.pl?gene=PYCARD"
"FHIT","Fragile Histidine Triad","Protein Coding","64","GC03M059712","0.77","/cgi-bin/carddisp.pl?gene=FHIT"
"CHRNB4","Cholinergic Receptor Nicotinic Beta 4 Subunit","Protein Coding","64","GC15M078624","0.77","/cgi-bin/carddisp.pl?gene=CHRNB4"
"GCLC","Glutamate-Cysteine Ligase Catalytic Subunit","Protein Coding","64","GC06M053497","0.77","/cgi-bin/carddisp.pl?gene=GCLC"
"GSTM1","Glutathione S-Transferase Mu 1","Protein Coding","64","GC01P109687","0.77","/cgi-bin/carddisp.pl?gene=GSTM1"
"HNRNPA2B1","Heterogeneous Nuclear Ribonucleoprotein A2/B1","Protein Coding","64","GC07M026229","0.77","/cgi-bin/carddisp.pl?gene=HNRNPA2B1"
"PPM1D","Protein Phosphatase, Mg2+/Mn2+ Dependent 1D","Protein Coding","64","GC17P060600","0.77","/cgi-bin/carddisp.pl?gene=PPM1D"
"GFRA1","GDNF Family Receptor Alpha 1","Protein Coding","64","GC10M116056","0.77","/cgi-bin/carddisp.pl?gene=GFRA1"
"TOP2B","Topoisomerase (DNA) II Beta","Protein Coding","64","GC03M025598","0.77","/cgi-bin/carddisp.pl?gene=TOP2B"
"PGAM1","Phosphoglycerate Mutase 1","Protein Coding","64","GC10P097426","0.77","/cgi-bin/carddisp.pl?gene=PGAM1"
"UGDH","UDP-Glucose 6-Dehydrogenase","Protein Coding","64","GC04M039502","0.77","/cgi-bin/carddisp.pl?gene=UGDH"
"OXCT1","3-Oxoacid CoA-Transferase 1","Protein Coding","64","GC05M041732","0.77","/cgi-bin/carddisp.pl?gene=OXCT1"
"IGFBP1","Insulin Like Growth Factor Binding Protein 1","Protein Coding","64","GC07P046158","0.77","/cgi-bin/carddisp.pl?gene=IGFBP1"
"CTNND1","Catenin Delta 1","Protein Coding","64","GC11P057780","0.77","/cgi-bin/carddisp.pl?gene=CTNND1"
"SLC25A3","Solute Carrier Family 25 Member 3","Protein Coding","64","GC12P098593","0.77","/cgi-bin/carddisp.pl?gene=SLC25A3"
"DDOST","Dolichyl-Diphosphooligosaccharide--Protein Glycosyltransferase Non-Catalytic Subunit","Protein Coding","64","GC01M020651","0.77","/cgi-bin/carddisp.pl?gene=DDOST"
"TRPM7","Transient Receptor Potential Cation Channel Subfamily M Member 7","Protein Coding","63","GC15M050552","0.77","/cgi-bin/carddisp.pl?gene=TRPM7"
"RFC1","Replication Factor C Subunit 1","Protein Coding","63","GC04M039291","0.77","/cgi-bin/carddisp.pl?gene=RFC1"
"HNRNPK","Heterogeneous Nuclear Ribonucleoprotein K","Protein Coding","63","GC09M083969","0.77","/cgi-bin/carddisp.pl?gene=HNRNPK"
"CDKN2C","Cyclin Dependent Kinase Inhibitor 2C","Protein Coding","63","GC01P050960","0.77","/cgi-bin/carddisp.pl?gene=CDKN2C"
"SMARCB1","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily B, Member 1","Protein Coding","63","GC22P023786","0.77","/cgi-bin/carddisp.pl?gene=SMARCB1"
"MB","Myoglobin","Protein Coding","63","GC22M035606","0.77","/cgi-bin/carddisp.pl?gene=MB"
"CAV2","Caveolin 2","Protein Coding","63","GC07P116287","0.77","/cgi-bin/carddisp.pl?gene=CAV2"
"ALOX5AP","Arachidonate 5-Lipoxygenase Activating Protein","Protein Coding","63","GC13P030713","0.77","/cgi-bin/carddisp.pl?gene=ALOX5AP"
"GNB1","G Protein Subunit Beta 1","Protein Coding","63","GC01M001785","0.77","/cgi-bin/carddisp.pl?gene=GNB1"
"INSRR","Insulin Receptor Related Receptor","Protein Coding","63","GC01M156809","0.77","/cgi-bin/carddisp.pl?gene=INSRR"
"WDR5","WD Repeat Domain 5","Protein Coding","63","GC09P134135","0.77","/cgi-bin/carddisp.pl?gene=WDR5"
"GANAB","Glucosidase II Alpha Subunit","Protein Coding","63","GC11M062740","0.77","/cgi-bin/carddisp.pl?gene=GANAB"
"CYP26A1","Cytochrome P450 Family 26 Subfamily A Member 1","Protein Coding","63","GC10P093073","0.77","/cgi-bin/carddisp.pl?gene=CYP26A1"
"SLC25A5","Solute Carrier Family 25 Member 5","Protein Coding","63","GC0XP119468","0.77","/cgi-bin/carddisp.pl?gene=SLC25A5"
"SLC1A5","Solute Carrier Family 1 Member 5","Protein Coding","63","GC19M046760","0.77","/cgi-bin/carddisp.pl?gene=SLC1A5"
"SEL1L","SEL1L ERAD E3 Ligase Adaptor Subunit","Protein Coding","63","GC14M081471","0.77","/cgi-bin/carddisp.pl?gene=SEL1L"
"TRIM24","Tripartite Motif Containing 24","Protein Coding","62","GC07P138460","0.77","/cgi-bin/carddisp.pl?gene=TRIM24"
"MAP4","Microtubule Associated Protein 4","Protein Coding","62","GC03M047892","0.77","/cgi-bin/carddisp.pl?gene=MAP4"
"HCLS1","Hematopoietic Cell-Specific Lyn Substrate 1","Protein Coding","62","GC03M121631","0.77","/cgi-bin/carddisp.pl?gene=HCLS1"
"LTA","Lymphotoxin Alpha","Protein Coding","62","GC06P031572","0.77","/cgi-bin/carddisp.pl?gene=LTA"
"PRMT5","Protein Arginine Methyltransferase 5","Protein Coding","62","GC14M022920","0.77","/cgi-bin/carddisp.pl?gene=PRMT5"
"MKI67","Marker Of Proliferation Ki-67","Protein Coding","62","GC10M128096","0.77","/cgi-bin/carddisp.pl?gene=MKI67"
"ATRX","ATRX, Chromatin Remodeler","Protein Coding","62","GC0XM077504","0.77","/cgi-bin/carddisp.pl?gene=ATRX"
"PTAFR","Platelet Activating Factor Receptor","Protein Coding","62","GC01M028161","0.77","/cgi-bin/carddisp.pl?gene=PTAFR"
"RPN1","Ribophorin I","Protein Coding","62","GC03M128619","0.77","/cgi-bin/carddisp.pl?gene=RPN1"
"CCNT1","Cyclin T1","Protein Coding","62","GC12M048688","0.77","/cgi-bin/carddisp.pl?gene=CCNT1"
"PDPN","Podoplanin","Protein Coding","62","GC01P013656","0.77","/cgi-bin/carddisp.pl?gene=PDPN"
"LGALS3BP","Galectin 3 Binding Protein","Protein Coding","62","GC17M078971","0.77","/cgi-bin/carddisp.pl?gene=LGALS3BP"
"XRCC1","X-Ray Repair Cross Complementing 1","Protein Coding","62","GC19M043543","0.77","/cgi-bin/carddisp.pl?gene=XRCC1"
"EFNA5","Ephrin A5","Protein Coding","62","GC05M107376","0.77","/cgi-bin/carddisp.pl?gene=EFNA5"
"P2RY6","Pyrimidinergic Receptor P2Y6","Protein Coding","62","GC11P073264","0.77","/cgi-bin/carddisp.pl?gene=P2RY6"
"TAC1","Tachykinin Precursor 1","Protein Coding","62","GC07P097731","0.77","/cgi-bin/carddisp.pl?gene=TAC1"
"LMO2","LIM Domain Only 2","Protein Coding","62","GC11M033880","0.77","/cgi-bin/carddisp.pl?gene=LMO2"
"MTHFS","5,10-Methenyltetrahydrofolate Synthetase (5-Formyltetrahydrofolate Cyclo-Ligase)","Protein Coding","62","GC15M079833","0.77","/cgi-bin/carddisp.pl?gene=MTHFS"
"VAPB","VAMP Associated Protein B And C","Protein Coding","62","GC20P058389","0.77","/cgi-bin/carddisp.pl?gene=VAPB"
"HFE","Hemochromatosis","Protein Coding","62","GC06P026087","0.77","/cgi-bin/carddisp.pl?gene=HFE"
"PLOD1","Procollagen-Lysine,2-Oxoglutarate 5-Dioxygenase 1","Protein Coding","62","GC01P011934","0.77","/cgi-bin/carddisp.pl?gene=PLOD1"
"PYY","Peptide YY","Protein Coding","62","GC17M043952","0.77","/cgi-bin/carddisp.pl?gene=PYY"
"CPOX","Coproporphyrinogen Oxidase","Protein Coding","62","GC03M098521","0.77","/cgi-bin/carddisp.pl?gene=CPOX"
"CX3CL1","C-X3-C Motif Chemokine Ligand 1","Protein Coding","62","GC16P057372","0.77","/cgi-bin/carddisp.pl?gene=CX3CL1"
"DARS","Aspartyl-TRNA Synthetase","Protein Coding","62","GC02M135906","0.77","/cgi-bin/carddisp.pl?gene=DARS"
"TGM3","Transglutaminase 3","Protein Coding","62","GC20P002276","0.77","/cgi-bin/carddisp.pl?gene=TGM3"
"HCRT","Hypocretin Neuropeptide Precursor","Protein Coding","61","GC17M042185","0.77","/cgi-bin/carddisp.pl?gene=HCRT"
"ID3","Inhibitor Of DNA Binding 3, HLH Protein","Protein Coding","61","GC01M023557","0.77","/cgi-bin/carddisp.pl?gene=ID3"
"TRIM63","Tripartite Motif Containing 63","Protein Coding","61","GC01M026062","0.77","/cgi-bin/carddisp.pl?gene=TRIM63"
"TRIM28","Tripartite Motif Containing 28","Protein Coding","61","GC19P058544","0.77","/cgi-bin/carddisp.pl?gene=TRIM28"
"PURA","Purine Rich Element Binding Protein A","Protein Coding","61","GC05P140076","0.77","/cgi-bin/carddisp.pl?gene=PURA"
"ALCAM","Activated Leukocyte Cell Adhesion Molecule","Protein Coding","61","GC03P105366","0.77","/cgi-bin/carddisp.pl?gene=ALCAM"
"CD80","CD80 Molecule","Protein Coding","61","GC03M119524","0.77","/cgi-bin/carddisp.pl?gene=CD80"
"IL15","Interleukin 15","Protein Coding","61","GC04P141636","0.77","/cgi-bin/carddisp.pl?gene=IL15"
"MLST8","MTOR Associated Protein, LST8 Homolog","Protein Coding","61","GC16P002204","0.77","/cgi-bin/carddisp.pl?gene=MLST8"
"BNIP3","BCL2 Interacting Protein 3","Protein Coding","61","GC10M131966","0.77","/cgi-bin/carddisp.pl?gene=BNIP3"
"PSMC5","Proteasome 26S Subunit, ATPase 5","Protein Coding","61","GC17P063827","0.77","/cgi-bin/carddisp.pl?gene=PSMC5"
"ATXN2","Ataxin 2","Protein Coding","61","GC12M111452","0.77","/cgi-bin/carddisp.pl?gene=ATXN2"
"IL24","Interleukin 24","Protein Coding","61","GC01P206897","0.77","/cgi-bin/carddisp.pl?gene=IL24"
"TAPBP","TAP Binding Protein","Protein Coding","61","GC06M033299","0.77","/cgi-bin/carddisp.pl?gene=TAPBP"
"SRD5A1","Steroid 5 Alpha-Reductase 1","Protein Coding","61","GC05P006633","0.77","/cgi-bin/carddisp.pl?gene=SRD5A1"
"RAP1GDS1","Rap1 GTPase-GDP Dissociation Stimulator 1","Protein Coding","61","GC04P098261","0.77","/cgi-bin/carddisp.pl?gene=RAP1GDS1"
"NRF1","Nuclear Respiratory Factor 1","Protein Coding","61","GC07P129611","0.77","/cgi-bin/carddisp.pl?gene=NRF1"
"NCL","Nucleolin","Protein Coding","61","GC02M231453","0.77","/cgi-bin/carddisp.pl?gene=NCL"
"PLP1","Proteolipid Protein 1","Protein Coding","61","GC0XP103773","0.77","/cgi-bin/carddisp.pl?gene=PLP1"
"MICB","MHC Class I Polypeptide-Related Sequence B","Protein Coding","61","GC06P031465","0.77","/cgi-bin/carddisp.pl?gene=MICB"
"KLRK1","Killer Cell Lectin Like Receptor K1","Protein Coding","61","GC12M011301","0.77","/cgi-bin/carddisp.pl?gene=KLRK1"
"FLOT1","Flotillin 1","Protein Coding","61","GC06M030729","0.77","/cgi-bin/carddisp.pl?gene=FLOT1"
"ASPH","Aspartate Beta-Hydroxylase","Protein Coding","61","GC08M061500","0.77","/cgi-bin/carddisp.pl?gene=ASPH"
"P2RY4","Pyrimidinergic Receptor P2Y4","Protein Coding","61","GC0XM070258","0.77","/cgi-bin/carddisp.pl?gene=P2RY4"
"VANGL2","VANGL Planar Cell Polarity Protein 2","Protein Coding","61","GC01P160370","0.77","/cgi-bin/carddisp.pl?gene=VANGL2"
"PCMT1","Protein-L-Isoaspartate (D-Aspartate) O-Methyltransferase","Protein Coding","61","GC06P149749","0.77","/cgi-bin/carddisp.pl?gene=PCMT1"
"NANOG","Nanog Homeobox","Protein Coding","61","GC12P007787","0.77","/cgi-bin/carddisp.pl?gene=NANOG"
"KRT20","Keratin 20","Protein Coding","61","GC17M040875","0.77","/cgi-bin/carddisp.pl?gene=KRT20"
"GDI1","GDP Dissociation Inhibitor 1","Protein Coding","61","GC0XP154436","0.77","/cgi-bin/carddisp.pl?gene=GDI1"
"VSNL1","Visinin Like 1","Protein Coding","61","GC02P017539","0.77","/cgi-bin/carddisp.pl?gene=VSNL1"
"VDAC2","Voltage Dependent Anion Channel 2","Protein Coding","61","GC10P075210","0.77","/cgi-bin/carddisp.pl?gene=VDAC2"
"SLC25A6","Solute Carrier Family 25 Member 6","Protein Coding","61","GC0XM001386","0.77","/cgi-bin/carddisp.pl?gene=SLC25A6"
"SERPINE2","Serpin Family E Member 2","Protein Coding","61","GC02M223975","0.77","/cgi-bin/carddisp.pl?gene=SERPINE2"
"SLC25A11","Solute Carrier Family 25 Member 11","Protein Coding","61","GC17M004937","0.77","/cgi-bin/carddisp.pl?gene=SLC25A11"
"SLC44A1","Solute Carrier Family 44 Member 1","Protein Coding","61","GC09P105244","0.77","/cgi-bin/carddisp.pl?gene=SLC44A1"
"FRS2","Fibroblast Growth Factor Receptor Substrate 2","Protein Coding","61","GC12P069471","0.77","/cgi-bin/carddisp.pl?gene=FRS2"
"ITIH4","Inter-Alpha-Trypsin Inhibitor Heavy Chain Family Member 4","Protein Coding","61","GC03M052812","0.77","/cgi-bin/carddisp.pl?gene=ITIH4"
"ITGA1","Integrin Subunit Alpha 1","Protein Coding","61","GC05P052788","0.77","/cgi-bin/carddisp.pl?gene=ITGA1"
"PSMC1","Proteasome 26S Subunit, ATPase 1","Protein Coding","61","GC14P090256","0.77","/cgi-bin/carddisp.pl?gene=PSMC1"
"DDX6","DEAD-Box Helicase 6","Protein Coding","61","GC11M118748","0.77","/cgi-bin/carddisp.pl?gene=DDX6"
"DPM1","Dolichyl-Phosphate Mannosyltransferase Subunit 1, Catalytic","Protein Coding","61","GC20M050934","0.77","/cgi-bin/carddisp.pl?gene=DPM1"
"CXCR5","C-X-C Motif Chemokine Receptor 5","Protein Coding","61","GC11P118884","0.77","/cgi-bin/carddisp.pl?gene=CXCR5"
"TET2","Tet Methylcytosine Dioxygenase 2","Protein Coding","61","GC04P105145","0.77","/cgi-bin/carddisp.pl?gene=TET2"
"CCNG1","Cyclin G1","Protein Coding","60","GC05P163457","0.77","/cgi-bin/carddisp.pl?gene=CCNG1"
"NEDD9","Neural Precursor Cell Expressed, Developmentally Down-Regulated 9","Protein Coding","60","GC06M011183","0.77","/cgi-bin/carddisp.pl?gene=NEDD9"
"ARID1A","AT-Rich Interaction Domain 1A","Protein Coding","60","GC01P026706","0.77","/cgi-bin/carddisp.pl?gene=ARID1A"
"STAG2","Stromal Antigen 2","Protein Coding","60","GC0XP123960","0.77","/cgi-bin/carddisp.pl?gene=STAG2"
"COIL","Coilin","Protein Coding","60","GC17M056938","0.77","/cgi-bin/carddisp.pl?gene=COIL"
"SP3","Sp3 Transcription Factor","Protein Coding","60","GC02M173906","0.77","/cgi-bin/carddisp.pl?gene=SP3"
"NPFFR2","Neuropeptide FF Receptor 2","Protein Coding","60","GC04P072031","0.77","/cgi-bin/carddisp.pl?gene=NPFFR2"
"ALDOC","Aldolase, Fructose-Bisphosphate C","Protein Coding","60","GC17M028763","0.77","/cgi-bin/carddisp.pl?gene=ALDOC"
"OXT","Oxytocin/Neurophysin I Prepropeptide","Protein Coding","60","GC20P003064","0.77","/cgi-bin/carddisp.pl?gene=OXT"
"USP4","Ubiquitin Specific Peptidase 4","Protein Coding","60","GC03M049315","0.77","/cgi-bin/carddisp.pl?gene=USP4"
"LYVE1","Lymphatic Vessel Endothelial Hyaluronan Receptor 1","Protein Coding","60","GC11M010578","0.77","/cgi-bin/carddisp.pl?gene=LYVE1"
"XPO5","Exportin 5","Protein Coding","60","GC06M043490","0.77","/cgi-bin/carddisp.pl?gene=XPO5"
"GNRH1","Gonadotropin Releasing Hormone 1","Protein Coding","60","GC08M025419","0.77","/cgi-bin/carddisp.pl?gene=GNRH1"
"TFE3","Transcription Factor Binding To IGHM Enhancer 3","Protein Coding","60","GC0XM049028","0.77","/cgi-bin/carddisp.pl?gene=TFE3"
"TECR","Trans-2,3-Enoyl-CoA Reductase","Protein Coding","60","GC19P014504","0.77","/cgi-bin/carddisp.pl?gene=TECR"
"SLC25A10","Solute Carrier Family 25 Member 10","Protein Coding","60","GC17P081712","0.77","/cgi-bin/carddisp.pl?gene=SLC25A10"
"KHDRBS1","KH RNA Binding Domain Containing, Signal Transduction Associated 1","Protein Coding","60","GC01P031981","0.77","/cgi-bin/carddisp.pl?gene=KHDRBS1"
"SEC61A1","Sec61 Translocon Alpha 1 Subunit","Protein Coding","60","GC03P128051","0.77","/cgi-bin/carddisp.pl?gene=SEC61A1"
